"","Ponticola_kessleri","Proterorhinus_semilunaris","Neogobius_fluviatilis","Sander_lucioperca","Perca_fluviatilis","Lepomis_gibbosus","Rutilus_rutilus","Abramis_brama","Blicca_bjoerkna","Squalius_cephalus","Alburnus_alburnus","Scardinius_erythrophthalmus","Leuciscus_leuciscus","Tinca_tinca","Gobio_gobio","Pseudorasbora_parva","Rhodeus_amarus","Cobitis_taenia","Silurus_glanis"
"Ponticola_kessleri",0,0.2424627668,0.32817753054,1.30813727354,1.30813727354,1.30813727344,1.999999999974,1.999999999974,1.999999999974,2.000000000004,1.999999999944,1.999999999944,2.000000000024,2.000000000024,2.000000000091,2.000000000091,1.999999999991,1.99999999994,1.99999999994
"Proterorhinus_semilunaris",0.2424627668,0,0.32817753054,1.30813727354,1.30813727354,1.30813727344,1.999999999974,1.999999999974,1.999999999974,2.000000000004,1.999999999944,1.999999999944,2.000000000024,2.000000000024,2.000000000091,2.000000000091,1.999999999991,1.99999999994,1.99999999994
"Neogobius_fluviatilis",0.32817753054,0.32817753054,0,1.3081372736,1.3081372736,1.3081372735,2.000000000034,2.000000000034,2.000000000034,2.000000000064,2.000000000004,2.000000000004,2.000000000084,2.000000000084,2.000000000151,2.000000000151,2.000000000051,2,2
"Sander_lucioperca",1.30813727354,1.30813727354,1.3081372736,0,0.402521427,1.0370723711,2.000000000034,2.000000000034,2.000000000034,2.000000000064,2.000000000004,2.000000000004,2.000000000084,2.000000000084,2.000000000151,2.000000000151,2.000000000051,2,2
"Perca_fluviatilis",1.30813727354,1.30813727354,1.3081372736,0.402521427,0,1.0370723711,2.000000000034,2.000000000034,2.000000000034,2.000000000064,2.000000000004,2.000000000004,2.000000000084,2.000000000084,2.000000000151,2.000000000151,2.000000000051,2,2
"Lepomis_gibbosus",1.30813727344,1.30813727344,1.3081372735,1.0370723711,1.0370723711,0,1.999999999934,1.999999999934,1.999999999934,1.999999999964,1.999999999904,1.999999999904,1.999999999984,1.999999999984,2.000000000051,2.000000000051,1.999999999951,1.9999999999,1.9999999999
"Rutilus_rutilus",1.999999999974,1.999999999974,2.000000000034,2.000000000034,2.000000000034,1.999999999934,0,0.13732586752,0.13732586752,0.21496946057,0.24314041385,0.24314041385,0.28925899415,0.62558918455,0.638431651585,0.638431651585,0.638431651485,1.127174436434,1.601451270634
"Abramis_brama",1.999999999974,1.999999999974,2.000000000034,2.000000000034,2.000000000034,1.999999999934,0.13732586752,0,0.02471439806,0.21496946057,0.24314041385,0.24314041385,0.28925899415,0.62558918455,0.638431651585,0.638431651585,0.638431651485,1.127174436434,1.601451270634
"Blicca_bjoerkna",1.999999999974,1.999999999974,2.000000000034,2.000000000034,2.000000000034,1.999999999934,0.13732586752,0.02471439806,0,0.21496946057,0.24314041385,0.24314041385,0.28925899415,0.62558918455,0.638431651585,0.638431651585,0.638431651485,1.127174436434,1.601451270634
"Squalius_cephalus",2.000000000004,2.000000000004,2.000000000064,2.000000000064,2.000000000064,1.999999999964,0.21496946057,0.21496946057,0.21496946057,0,0.24314041388,0.24314041388,0.28925899418,0.62558918458,0.638431651615,0.638431651615,0.638431651515,1.127174436464,1.601451270664
"Alburnus_alburnus",1.999999999944,1.999999999944,2.000000000004,2.000000000004,2.000000000004,1.999999999904,0.24314041385,0.24314041385,0.24314041385,0.24314041388,0,0.222208294,0.28925899412,0.62558918452,0.638431651555,0.638431651555,0.638431651455,1.127174436404,1.601451270604
"Scardinius_erythrophthalmus",1.999999999944,1.999999999944,2.000000000004,2.000000000004,2.000000000004,1.999999999904,0.24314041385,0.24314041385,0.24314041385,0.24314041388,0.222208294,0,0.28925899412,0.62558918452,0.638431651555,0.638431651555,0.638431651455,1.127174436404,1.601451270604
"Leuciscus_leuciscus",2.000000000024,2.000000000024,2.000000000084,2.000000000084,2.000000000084,1.999999999984,0.28925899415,0.28925899415,0.28925899415,0.28925899418,0.28925899412,0.28925899412,0,0.6255891846,0.638431651635,0.638431651635,0.638431651535,1.127174436484,1.601451270684
"Tinca_tinca",2.000000000024,2.000000000024,2.000000000084,2.000000000084,2.000000000084,1.999999999984,0.62558918455,0.62558918455,0.62558918455,0.62558918458,0.62558918452,0.62558918452,0.6255891846,0,0.638431651635,0.638431651635,0.638431651535,1.127174436484,1.601451270684
"Gobio_gobio",2.000000000091,2.000000000091,2.000000000151,2.000000000151,2.000000000151,2.000000000051,0.638431651585,0.638431651585,0.638431651585,0.638431651615,0.638431651555,0.638431651555,0.638431651635,0.638431651635,0,0.393704813,0.6195326773,1.127174436551,1.601451270751
"Pseudorasbora_parva",2.000000000091,2.000000000091,2.000000000151,2.000000000151,2.000000000151,2.000000000051,0.638431651585,0.638431651585,0.638431651585,0.638431651615,0.638431651555,0.638431651555,0.638431651635,0.638431651635,0.393704813,0,0.6195326773,1.127174436551,1.601451270751
"Rhodeus_amarus",1.999999999991,1.999999999991,2.000000000051,2.000000000051,2.000000000051,1.999999999951,0.638431651485,0.638431651485,0.638431651485,0.638431651515,0.638431651455,0.638431651455,0.638431651535,0.638431651535,0.6195326773,0.6195326773,0,1.127174436451,1.601451270651
"Cobitis_taenia",1.99999999994,1.99999999994,2,2,2,1.9999999999,1.127174436434,1.127174436434,1.127174436434,1.127174436464,1.127174436404,1.127174436404,1.127174436484,1.127174436484,1.127174436551,1.127174436551,1.127174436451,0,1.6014512706
"Silurus_glanis",1.99999999994,1.99999999994,2,2,2,1.9999999999,1.601451270634,1.601451270634,1.601451270634,1.601451270664,1.601451270604,1.601451270604,1.601451270684,1.601451270684,1.601451270751,1.601451270751,1.601451270651,1.6014512706,0
